,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
211,삼척정월대보름축제,강원도,삼척시,4223011900,성남동,4.22E+11,강원도 삼척시 엑스포로 45 (성남동),25919,37.43896231,129.160145,20200207,2020,2,7,26510
242,함백산야생화축제,강원도,정선군,4277025321,고한읍,4.28E+11,강원도 정선군 고한읍 함백산로 865,26157,37.14853562,128.898962,20200808,2020,8,8,3709
244,정선아리랑제,강원도,정선군,4277025021,정선읍,4.28E+11,강원도 정선군 정선읍 봉양3길 17,26131,37.38024298,128.6602287,20200917,2020,9,17,14628
325,강릉망월제,강원도,강릉시,4215012100,노암동,4.22E+11,강원도 강릉시 단오장길 1 (노암동),25586,37.74820212,128.8950397,20200208,2020,2,8,16421
369,인제빙어축제,강원도,인제군,4281031024,남면,4.28E+11,강원도 인제군 남면 모루박길 17-46,24646,37.98808996,128.0955517,20200118,2020,1,18,29876
371,대관령눈꽃축제,강원도,평창군,4276038024,대관령면,4.28E+11,강원도 평창군 대관령면 올림픽로 109,25347,37.670709,128.704625,20200117,2020,1,17,25443
372,오대산문화축전,강원도,평창군,4276036027,진부면,4.28E+11,강원도 평창군 진부면 오대산로 413-28,25318,37.73403976,128.5875972,20201008,2020,10,8,25091
379,태백산눈축제,강원도,태백시,4219010100,황지동,4.22E+11,강원도 태백시 태붐로 21 (황지동),26023,37.16421694,128.9865547,20200110,2020,1,10,26994
381,강릉단오제,강원도,강릉시,4215012100,노암동,4.22E+11,강원도 강릉시 단오장길 12,25586,37.74820212,128.8950714,20200621,2020,6,21,6571
382,난설헌허초희 문화제,강원도,강릉시,4215011200,초당동,4.22E+11,강원도 강릉시 난설헌로193번길 1-16 (초당동),25466,37.79187317,128.9096453,20200901,2020,9,1,13065
383,허균문화제,강원도,강릉시,4215011200,초당동,4.22E+11,강원도 강릉시 난설헌로193번길 1-16 (초당동),25466,37.79187317,128.9096453,20201010,2020,10,10,5332
384,강릉커피축제,강원도,강릉시,4215011100,포남동,4.22E+11,강원도 강릉시 수리골길 102 (포남동),25472,37.77929864,128.8970866,20201008,2020,10,8,5828
612,섬강축제,강원도,원주시,4213033021,지정면,4.21E+11,강원도 원주시 지정면 소금산길 26,26359,37.36489188,127.8325403,20201001,2020,10,1,4833
613,원주 용수골꽃양귀비축제,강원도,원주시,4213038022,판부면,4.21E+11,강원도 원주시 판부면 용수골길 326,26402,37.2839426,127.9404457,20200523,2020,5,23,28704
614,원주 다이내믹댄싱카니발,강원도,원주시,4213010600,명륜동,4.21E+11,강원도 원주시 단구로 170 (명륜동),26447,37.336428,127.9462616,20200908,2020,9,8,2861
615,원주 한지문화제,강원도,원주시,4213011500,무실동,4.21E+11,강원도 원주시 한지공원길 151 (무실동),26478,37.33437725,127.9353773,20200903,2020,9,3,7262
642,둔내고랭지토마토축제,강원도,횡성군,4273033027,둔내면,4.27E+11,강원도 횡성군 둔내면 둔내로51번길 17,25264,37.5119262,128.2190272,20200814,2020,8,14,28427
643,횡성더덕축제,강원도,횡성군,4273035024,청일면,4.27E+11,강원도 횡성군 청일면 유동로 17,25254,37.58392059,128.1502908,20200918,2020,9,18,27906
