,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
183,광주왕실도자기축제,경기도,광주시,4161025936,곤지암읍,4.16E+11,경기도 광주시 곤지암읍 경충대로 727,12805,37.35028421,127.3347877,20200430,2020,4,30,2759
184,퇴촌토마토축제,경기도,광주시,4161034026,퇴촌면,4.16E+11,경기도 광주시 퇴촌면 오리길 104-11,12711,37.47269684,127.3014271,20200619,2020,6,19,21586
346,제28회 연천 구석기 축제,경기도,연천군,4180025321,전곡읍,4.18E+11,경기도 연천군 전곡읍 양연로 1510,11027,38.01564928,127.0614528,20201009,2020,10,9,17498
386,이천쌀문화축제,경기도,이천시,4150010200,관고동,4.15E+11,경기도 이천시 경충대로2697번길 306 (관고동),17379,37.27793778,127.4269268,20201022,2020,10,22,11526
387,이천도자기축제,경기도,이천시,4150031029,신둔면,4.15E+11,경기도 이천시 신둔면 도자예술로5번길 109,17306,37.29309775,127.385686,20200425,2020,4,25,21191
390,이천인삼축제,경기도,이천시,4150010200,관고동,4.15E+11,경기도 이천시 경충대로2697번길 306 (관고동),17379,37.27793778,127.4269268,20201030,2020,10,30,6553
445,부천국제판타스틱영화제,경기도,부천시,4119010800,중동,4.12E+11,경기도 부천시 길주로 210 (중동),14547,37.50358247,126.765337,20200709,2020,7,9,20358
446,부천전국비보이대회,경기도,부천시,4119010900,상동,4.12E+11,경기도 부천시 길주로121번길 18-19 (상동),14542,37.50660402,126.7571075,20200621,2020,6,21,29819
447,부천국제만화축제,경기도,부천시,4119010900,상동,4.12E+11,경기도 부천시 길주로 1 (상동),14505,37.50856874,126.7437144,20200814,2020,8,14,25379
448,부천세계비보이대회,경기도,부천시,4119010900,상동,4.12E+11,경기도 부천시 길주로121번길 18-19,14542,37.50660402,126.7571075,20200925,2020,9,25,16185
449,부천전국대학가요제,경기도,부천시,4119011000,소사본동,4.12E+11,경기도 부천시 호현로489번길 52 (소사본동),14754,37.47831788,126.7900308,20200919,2020,9,19,4431
450,부천국제애니메이션페스티벌,경기도,부천시,4119010900,상동,4.12E+11,경기도 부천시 길주로 1 (상동),14505,37.50856874,126.7437144,20201023,2020,10,23,4615
451,제15회 파주개성인삼축제,경기도,파주시,4148025026,문산읍,4.15E+11,경기도 파주시 문산읍 임진각로 177,10808,37.8893177,126.7400657,20201017,2020,10,17,24801
452,제24회 파주장단콩축제,경기도,파주시,4148025026,문산읍,4.15E+11,경기도 파주시 문산읍 임진각로 177,10808,37.8893177,126.7400657,20201127,2020,11,27,21837
456,"의정부 건강축제 「건강, 사계 四季」",경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 범골로 131 (의정부동),11649,37.73615924,127.0395615,20200919,2020,9,19,20260
457,2020 제17회 청소년 어울림마당 행복누리축제,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 27 (의정부동),11622,37.73517715,127.033897,20200411,2020,4,11,5862
458,제98회 어린이날 행사 어린이 한마당 큰잔치,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 27 (의정부동),11622,37.73517715,127.033897,20200505,2020,5,5,17445
459,2020 제3회 의정부시청소년진로페스티벌,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 27 (의정부동),11622,37.735161,127.033856,20200522,2020,5,22,2157
460,2020 전국 청소년 댄스페스티벌 ''꿈을 향한 무(舞)승부'',경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 27 (의정부동),11622,37.73517715,127.033897,20200530,2020,5,30,24003
461,제3회 의정부시 청소년 party,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 27 (의정부동),11622,37.73517715,127.033897,20200523,2020,5,23,8091
462,제3회 의정부시장배 전국 청소년 드론경연대회,경기도,의정부시,4115011100,녹양동,4.12E+11,경기도 의정부시 체육로 90 (녹양동),11606,37.76001299,127.0279671,20200725,2020,7,25,3775
463,청소년 공감 콘서트,경기도,의정부시,4115010300,장암동,4.12E+11,경기도 의정부시 장곡로 22 (장암동),11723,37.70699473,127.053346,20201023,2020,10,23,1370
464,제2회 의정부시 청소년 풋살대회,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 호국로1162번길 73 (의정부동),11622,37.74005802,127.0327484,20201024,2020,10,24,14531
465,2020 푸른별 콘서트,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 1 (의정부동),11622,37.73338595,127.034135,20201202,2020,12,2,4054
466,의정부시평생학습박람회,경기도,의정부시,4115011000,가능동,4.12E+11,경기도 의정부시 의정로 165 (가능동),11675,37.74777259,127.0342439,20200523,2020,5,23,2329
467,의정부 미용페스티벌,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 1 (의정부동),11622,37.733386,127.034128,20200903,2020,9,3,7016
468,의정부 부대찌개축제,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 호국로 1309 (의정부동),11689,37.743904,127.049659,20201017,2020,10,17,13732
469,의정부가족문화대축제,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 시민로 12 (의정부동),11624,37.737579,127.036375,20200502,2020,5,2,27618
470,2020 하하페스티벌,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 시민로 12 (의정부동),11624,37.737579,127.036375,20200920,2020,9,20,28660
471,천상병예술제,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 1 (의정부동),11622,37.733386,127.034128,20200425,2020,4,25,13528
472,의정부음악극축제,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 1 (의정부동),11622,37.733386,127.034128,20200508,2020,5,8,15849
473,블랙뮤직페스티벌,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 1 (의정부동),11622,37.733386,127.034128,20200807,2020,8,7,12924
474,의정부 국제가야금축제,경기도,의정부시,4115010100,의정부동,4.12E+11,경기도 의정부시 의정로 1 (의정부동),11622,37.733386,127.034128,20200925,2020,9,25,29886
483,제15회 광릉숲축제,경기도,남양주시,4136025325,진접읍,4.14E+11,경기도 남양주시 진접읍 봉선사길 32,12001,37.7463984,127.1836293,20200901,2020,9,1,15471
484,제34회 정약용문화제,경기도,남양주시,4136036021,조안면,4.14E+11,경기도 남양주시 조안면 다산로747번길 11,12283,37.51627447,127.299035,20201001,2020,10,1,12353
517,평택호물빛축제,경기도,평택시,4122037030,현덕면,4.12E+11,경기도 평택시 현덕면 평택호2길 183,17972,36.9233294,126.9266764,20201010,2020,10,10,3665
559,2020 아라마린 워터페스티벌,경기도,김포시,4157025325,고촌읍,4.16E+11,경기도 김포시 고촌읍 아라육로270번길 74,10135,37.59765509,126.7869691,20200808,2020,8,8,13023
560,DMZ 울트라트레일러닝,경기도,김포시,4157034033,대곶면,4.16E+11,경기도 김포시 대곶면 대명항1로 110-36,10041,37.6406387,126.539261,20200901,2020,9,1,11034
561,2020 김포 국제무선자동차대회 개최,경기도,김포시,4157025021,통진읍,4.16E+11,경기도 김포시 통진읍 김포대로 1966,10014,37.68028573,126.6249423,20200917,2020,9,17,14017
562,김포 평화누리길 걷기행사,경기도,김포시,4157036026,하성면,4.16E+11,경기도 김포시 하성면 평화공원로 139,10004,37.74322967,126.5940602,20200501,2020,5,1,18178
563,2020 김포 도심축제,경기도,김포시,4157010400,장기동,4.16E+11,경기도 김포시 김포한강2로24번길 29 (장기동),10079,37.64350661,126.676558,20200919,2020,9,19,23543
564,김포통진두레놀이 가마솥밥짓기 경연대회,경기도,김포시,4157010300,운양동,4.16E+11,경기도 김포시 김포한강11로 162 (운양동),10077,37.6451001,126.6946864,20201001,2020,10,1,10479
565,월곶 저잣거리축제,경기도,김포시,4157035021,월곶면,4.16E+11,경기도 김포시 월곶면 애기봉로7번길 29,10024,37.71599422,126.5538862,20201017,2020,10,17,13825
589,제32회 시민의 날 문화행사,경기도,오산시,4137010100,오산동,4.14E+11,경기도 오산시 경기동로 15 (오산동),18131,37.15685632,127.0726163,20200925,2020,9,25,8782
590,제10회 오산 독산성 문화제,경기도,오산시,4137011400,지곶동,4.14E+11,경기도 오산시 독산성로269번길 144 (지곶동),18102,37.183615,127.0197889,20201016,2020,10,16,22017
591,2020  제14회 종합예술제,경기도,오산시,4137010900,은계동,4.14E+11,경기도 오산시 현충로 100 (은계동),18131,37.16022346,127.077061,20201004,2020,10,4,13187
592,2020 오산 통기타 페스티벌,경기도,오산시,4137010100,오산동,4.14E+11,경기도 오산시 경기동로 15 (오산동),18131,37.15685632,127.0726163,20200925,2020,9,25,29589
706,제11회 푸른 화성 지키기 환경자전거 대행진,경기도,화성시,4159012700,반송동,4.16E+11,경기도 화성시 동탄공원로1길 26-23 (반송동),18436,37.20375726,127.0612119,20200425,2020,4,25,14799
707,제21회 화성 효 마라톤 대회,경기도,화성시,4159025938,향남읍,4.16E+11,경기도 화성시 향남읍 향남로 470,18588,37.13754285,126.9242553,20200509,2020,5,9,23723
708,제13회 봄사랑 가족축제,경기도,화성시,4159013500,산척동,4.16E+11,경기도 화성시 동탄순환대로12길 67 (산척동),18503,37.16666764,127.1012734,20200516,2020,5,16,14504
709,화성뱃놀이축제,경기도,화성시,4159035021,서신면,4.16E+11,경기도 화성시 서신면 당성로 339-9,18554,37.20142534,126.7014343,20200528,2020,5,28,19969
710,2020 화성송산포도축제,경기도,화성시,4159035031,서신면,4.16E+11,경기도 화성시 서신면 궁평항로 1049-24,18556,37.11602854,126.6812741,20200905,2020,9,5,25188
711,정조 효 문화제,경기도,화성시,4159012500,송산동,4.16E+11,경기도 화성시 용주로 136 (송산동),18347,37.21177787,127.0056149,20201010,2020,10,10,10136
712,2020 제9회 평생학습박람회,경기도,화성시,4159025938,향남읍,4.16E+11,경기도 화성시 향남읍 향남로 470,18588,37.13754285,126.9242553,20201017,2020,10,17,17848
713,화성시민 한마을 체육대회,경기도,화성시,4159025938,향남읍,4.16E+11,경기도 화성시 향남읍 향남로 470,18588,37.13754285,126.9242553,20201017,2020,10,17,8871
719,의왕철도축제,경기도,의왕시,4143011000,월암동,4.14E+11,경기도 의왕시 왕송못동로 307 (월암동),16107,37.30712099,126.9531474,20200504,2020,5,4,11389
720,의왕백운호수축제,경기도,의왕시,4143010600,학의동,4.14E+11,경기도 의왕시 백운로 526 (학의동),16012,37.38321292,127.0007588,20200919,2020,9,19,13147
734,할미성 대동제,경기도,용인시 처인구,4146110300,삼가동,4.15E+11,경기도 용인시 처인구 중부대로 1199 (삼가동),17019,37.24086706,127.1779688,20201015,2020,10,15,20728
735,포은문화제,경기도,용인시 처인구,4146110300,삼가동,4.15E+11,경기도 용인시 처인구 중부대로 1199 (삼가동),17019,37.24086706,127.1779688,20201011,2020,10,11,4421
