,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
177,봉화은어축제,경상북도,봉화군,4792025031,봉화읍,4.79E+11,경상북도 봉화군 봉화읍 내성로5길 22-8,36238,36.8888791,128.7378251,20200801,2020,8,1,9902
178,봉화송이축제,경상북도,봉화군,4792025031,봉화읍,4.79E+11,경상북도 봉화군 봉화읍 내성로5길 22-8,36238,36.8888791,128.7378251,20201008,2020,10,8,21476
335,제3회의성슈퍼푸드마늘축제,경상북도,의성군,4773025021,의성읍,4.77E+11,경상북도 의성군 의성읍 군청길 31,37337,36.35271101,128.6972069,20201001,2020,10,1,22557
420,안동민속축제,경상북도,안동시,4717011200,동부동,4.72E+11,경상북도 안동시 서동문로 203 (동부동),36693,36.5662343,128.7342615,20200925,2020,9,25,2679
421,안동국제탈춤축제,경상북도,안동시,4717011300,운흥동,4.72E+11,경상북도 안동시 육사로 239 (운흥동),36709,36.5606948,128.7322556,20200925,2020,9,25,2992
453,영천한약축제,경상북도,영천시,4723011000,화룡동,4.72E+11,경상북도 영천시 천문로 485,38839,35.9775233,128.9218161,20200925,2020,9,25,3390
454,영천문화예술제,경상북도,영천시,4723010500,문외동,4.72E+11,경상북도 영천시 중앙동2길 89-15 (문외동),38850,35.9730714,128.9328273,20201016,2020,10,16,5919
455,영천보현산별빛축제,경상북도,영천시,4723034029,화북면,4.72E+11,경상북도 영천시 화북면 별빛로 681-32,38812,36.1402561,128.9967122,20201009,2020,10,9,28008
636,청송사과축제,경상북도,청송군,4775025021,청송읍,4.78E+11,경상북도 청송군 청송읍 강변로 87,37431,36.432499,129.054312,20201028,2020,10,28,12685
771,우산문화제,경상북도,울릉군,4794025024,울릉읍,4.79E+11,경상북도 울릉군 울릉읍 약수터길 48,40225,37.48343755,130.9020734,20200917,2020,9,17,17186
60,제8회 세계인형음악극축제,경상북도,칠곡군,4785025022,왜관읍,4.79E+11,경상북도 칠곡군 왜관읍 관문로1길 32,39872,35.99199957,128.4173003,20190822,2019,8,22,3541
61,제7회 낙동강세계평화문화 대축전,경상북도,칠곡군,4785025625,석적읍,4.79E+11,경상북도 칠곡군 석적읍 석적로 226,39848,36.019199,128.401401,20191011,2019,10,11,19680
136,성주생명문화축제 성주참외페스티벌,경상북도,성주군,4784025021,성주읍,4.78E+11,경상북도 성주군 성주읍 성밖숲길 30,40023,35.91576102,128.2800492,20190516,2019,5,16,6618
324,문경찻사발축제,경상북도,문경시,4728025027,문경읍,4.73E+11,경상북도 문경시 문경읍 문경대로 2416,36919,36.74144625,128.0838026,20190427,2019,4,27,28063
327,문경오미자축제,경상북도,문경시,4728035026,동로면,4.73E+11,경상북도 문경시 동로면 노은2길 4,36903,36.7714734,128.3141145,20190920,2019,9,20,28653
328,문경사과축제,경상북도,문경시,4728025030,문경읍,4.73E+11,경상북도 문경시 문경읍 새재로 932,36919,36.76160207,128.0769905,20191012,2019,10,12,3569
628,제15회 영양산나물축제,경상북도,영양군,4776025022,영양읍,4.78E+11,경상북도 영양군 영양읍 군청길 37,36537,36.66718111,129.1123668,20190502,2019,5,2,9699
724,포항국제불빛축제,경상북도,포항시 남구,4711110300,해도동,4.71E+11,경상북도 포항시 남구 희망대로 967,37810,36.017859,129.374454,20190531,2019,5,31,12509
725,포항해병대문화축제,경상북도,포항시 남구,4711125630,오천읍,4.71E+11,경상북도 포항시 남구 오천읍 해병로 293,37909,35.96902317,129.4127411,20190427,2019,4,27,13869
726,포항운하축제,경상북도,포항시 남구,4711110400,송도동,4.71E+11,경상북도 포항시 남구 희망대로 1040 (송도동),37794,36.02387158,129.3773906,20190921,2019,9,21,15725
727,포항 연날리기 한마당,경상북도,포항시 남구,4711110300,해도동,4.71E+11,경상북도 포항시 남구 희망대로 873,37823,36.010908,129.368551,20191009,2019,10,9,17658
728,호미곶한민족해맞이축전,경상북도,포항시 남구,4711135022,호미곶면,4.71E+11,경상북도 포항시 남구 호미곶면 해맞이로 136,37928,36.07675839,129.5660588,20191231,2019,12,31,5023
729,포항시 대학연합축제(POP),경상북도,포항시 북구,4711310100,대흥동,4.71E+11,경상북도 포항시 북구 중앙상가길 31 (대흥동),37737,36.03793871,129.3636807,20191030,2019,10,30,8446
730,김천예술제,경상북도,김천시,4715010600,남산동,4.72E+11,경상북도 김천시 김천로 200,39596,36.118896,128.12205,20191010,2019,10,10,29152
731,정월대보름달맞이축제,경상북도,김천시,4715010600,남산동,4.72E+11,경상북도 김천시 김천로 200 (남산동),39596,36.118748,128.1221092,20190222,2019,2,22,8599
732,김천자두포도축제,경상북도,김천시,4715011000,삼락동,4.72E+11,경상북도 김천시 운동장길 1 (삼락동),39524,36.144924,128.088088,20190718,2019,7,18,16537
768,달맞이축제,경상북도,울릉군,4794025024,울릉읍,4.79E+11,경상북도 울릉군 울릉읍 도동2길 66,40222,37.48430421,130.9056438,20190219,2019,2,19,1350
769,울릉해변가요제,경상북도,울릉군,4794025024,울릉읍,4.79E+11,경상북도 울릉군 울릉읍 도동2길 66,40222,37.48430421,130.9056438,20190802,2019,8,2,9037
770,오징어축제,경상북도,울릉군,4794025024,울릉읍,4.79E+11,경상북도 울릉군 울릉읍 도동2길 66,40222,37.48430421,130.9056438,20190805,2019,8,5,22146
778,울진대게와 붉은대게 축제,경상북도,울진군,4793033022,근남면,4.79E+11,경상북도 울진군 근남면 엑스포로 25,36333,36.968686,129.401084,20190228,2019,2,28,18050
779,제야타종식,경상북도,울진군,4793033027,근남면,4.79E+11,경상북도 울진군 근남면 망양정로 956-22,36337,36.96515307,129.4132712,20191231,2019,12,31,14086
780,울진금강송송이축제와 친환경농산물축제,경상북도,울진군,4793033022,근남면,4.79E+11,경상북도 울진군 근남면 엑스포로 25,36333,36.968686,129.401084,20191003,2019,10,3,6395
781,성류문화제,경상북도,울진군,4793033021,근남면,4.79E+11,경상북도 울진군 근남면 성류굴로 221,36334,36.957175,129.379074,20191011,2019,10,11,7354
874,2019청도소싸움축제,경상북도,청도군,4782025033,화양읍,4.78E+11,경상북도 청도군 화양읍 남성현로 348,38324,35.68673395,128.7251463,20190516,2019,5,16,1890
875,제13회 청도유등제,경상북도,청도군,4782025028,화양읍,4.78E+11,경상북도 청도군 화양읍 산성강변길 448,38328,35.6551372,128.7355476,20190518,2019,5,18,26307
876,2019청도반시축제,경상북도,청도군,4782025025,화양읍,4.78E+11,경상북도 청도군 화양읍 청려로 1846,38333,35.6504035,128.7193929,20191011,2019,10,11,2706
877,2019청도세계코미디아트페스티벌,경상북도,청도군,4782025025,화양읍,4.78E+11,경상북도 청도군 화양읍 청려로 1846,38333,35.6504035,128.7193929,20191011,2019,10,11,10484
