,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
25,봉숫골 꽃나들이 축제,경상남도,통영시,4822011700,도남동,4.82E+11,경상남도 통영시 도남로 185 (도남동),53074,34.82960109,128.4243196,20200328,2020,3,28,19778
26,통영한산대첩축제,경상남도,통영시,4822011700,도남동,4.82E+11,경상남도 통영시 도남로 296-1,53079,34.82567453,128.4334058,20200811,2020,8,11,2817
27,한산도 바다체험축제,경상남도,통영시,4822036025,한산면,4.82E+11,경상남도 통영시 한산면 봉암1길 205-8,53093,34.75930638,128.5100671,20200620,2020,6,20,14025
39,악양대봉감축제,경상남도,하동군,4885032034,악양면,4.89E+11,경상남도 하동군 악양면 섬진강대로 3145-2,52307,35.13592935,127.6914855,20200101,2020,1,1,10687
70,하동북천꽃양귀비축제,경상남도,하동군,4885039023,북천면,4.89E+11,경상남도 하동군 북천면 경서대로 2253-21,52318,35.11101547,127.8741645,20200101,2020,1,1,28891
102,제50회 아림예술제,경상남도,거창군,4888025032,거창읍,4.89E+11,경상남도 거창군 거창읍 심소정길 39-36,50126,35.69209413,127.9290614,20200924,2020,9,24,7537
103,거창한마당대축제,경상남도,거창군,4888025032,거창읍,4.89E+11,경상남도 거창군 거창읍 심소정길 39-36,50126,35.69209413,127.9290614,20200924,2020,9,24,26215
109,북천코스모스메밀꽃축제,경상남도,하동군,4885039023,북천면,4.89E+11,경상남도 하동군 북천면 경서대로 2253-21,52318,35.11101547,127.8741645,20200101,2020,1,1,26964
114,토지문학제,경상남도,하동군,4885032034,악양면,4.89E+11,경상남도 하동군 악양면 평사리길 35,52307,35.15301698,127.6892639,20200101,2020,1,1,28879
126,화개장터벚꽃축제,경상남도,하동군,4885031023,화개면,4.89E+11,경상남도 하동군 화개면 쌍계로 58,52303,35.19153344,127.6267851,20200101,2020,1,1,14233
127,알프스하동섬진강재첩축제,경상남도,하동군,4885025022,하동읍,4.89E+11,경상남도 하동군 하동읍 섬진강대로 2107-8,52332,35.0633744,127.7433308,20200101,2020,1,1,20176
128,하동야생차문화축제,경상남도,하동군,4885031026,화개면,4.89E+11,경상남도 하동군 화개면 쌍계로 571-25,52302,35.22773053,127.6426922,20200101,2020,1,1,6615
130,제34회 비사벌문화제,경상남도,창녕군,4874025037,창녕읍,4.87E+11,경상남도 창녕군 창녕읍 학천길 13,50329,35.53835896,128.4987294,20201002,2020,10,2,18337
163,제14회 거창단오제,경상남도,거창군,4888025027,거창읍,4.89E+11,경상남도 거창군 거창읍 수남로 2193-40,50147,35.67353068,127.90942,20200625,2020,6,25,13607
164,제15회 거창전국 한시백일장대회,경상남도,거창군,4888025027,거창읍,4.89E+11,경상남도 거창군 거창읍 수남로 2193-40,50147,35.67353068,127.90942,20200625,2020,6,25,23724
167,욕지 섬 문화축제,경상남도,통영시,4822035021,욕지면,4.82E+11,경상남도 통영시 욕지면 욕지일주로 77,53100,34.63336365,128.2650885,20201009,2020,10,9,3060
436,남사예담촌 전통문화제,경상남도,산청군,4886037028,단성면,4.89E+11,경상남도 산청군 단성면 지리산대로2897번길 10,52252,35.27438505,127.9363079,20200920,2020,9,20,1179
437,제44회 남명선비문화축제,경상남도,산청군,4886036022,시천면,4.89E+11,경상남도 산청군 시천면 남명로240번길 33,52234,35.27631899,127.8460504,20201016,2020,10,16,2663
438,제14회 기산국악제전,경상남도,산청군,4886037029,단성면,4.89E+11,경상남도 산청군 단성면 상동길 69,52252,35.27597812,127.9340313,20200918,2020,9,18,21909
440,합천벚꽃마라톤대회,경상남도,합천군,4889045023,대병면,4.89E+11,경상남도 합천군 대병면 합천호수로 197,50216,35.531585,128.0295197,20200329,2020,3,29,6711
441,황매산 철쭉제,경상남도,합천군,4889044024,가회면,4.89E+11,경상남도 합천군 가회면 황매산공원길 4,50226,35.48184913,128.0037495,20200427,2020,4,27,18250
442,합천바캉스축제,경상남도,합천군,4889041021,대양면,4.89E+11,경상남도 합천군 대양면 동부로 39-13,50239,35.55690191,128.1668052,20200730,2020,7,30,24748
443,합천기록문화축제,경상남도,합천군,4889033032,가야면,4.89E+11,경상남도 합천군 가야면 가야산로 1160,50201,35.76749785,128.1365362,20201019,2020,10,19,12774
486,진주남강유등축제,경상남도,진주시,4817010300,강남동,4.82E+11,경상남도 진주시 강남로291번길 10 (강남동),52707,35.18725548,128.0855326,20201001,2020,10,1,5701
487,개천예술제,경상남도,진주시,4817010800,인사동,4.82E+11,경상남도 진주시 서장대로393번길 11-4,52689,35.18727536,128.0917424,20201003,2020,10,3,13926
489,코리아드라마페스티벌,경상남도,진주시,4817010400,칠암동,4.82E+11,경상남도 진주시 강남로 215,52722,35.18734031,128.0711471,20201001,2020,10,1,8280
490,진주논개제,경상남도,진주시,4817010700,남성동,4.82E+11,경상남도 진주시 진양호로 476 (남성동),52689,35.19079391,128.0776702,20200502,2020,5,2,24676
544,상주해돋이&물메기축제,경상남도,남해군,4884032022,상주면,4.88E+11,경상남도 남해군 상주면 상주로 10-1,52440,34.72221206,127.9874449,20201231,2020,12,31,24442
546,독일마을 맥주축제,경상남도,남해군,4884033025,삼동면,4.88E+11,경상남도 남해군 삼동면 독일로 92,52446,34.80085956,128.0384333,20201008,2020,10,8,2837
547,2020년 이순신 순국제전,경상남도,남해군,4884037028,고현면,4.88E+11,경상남도 남해군 고현면 남해대로 3829,52404,34.91252233,127.8578081,20201031,2020,10,31,27714
548,남해1973축제,경상남도,남해군,4884038027,설천면,4.88E+11,경상남도 남해군 설천면 남해대로 4216,52400,34.94075316,127.872403,20200905,2020,9,5,11046
0,블루거제페스티벌,경상남도,거제시,4831010200,장승포동,4.83E+11,경상남도 거제시 장승로 145 (장승포동),53322,34.86717826,128.7233592,20190731,2019,7,31,19691
1,바다로 세계로,경상남도,거제시,4831010900,고현동,4.83E+11,경상남도 거제시 계룡로 125 (고현동),53257,34.88052883,128.6208143,20190801,2019,8,1,26327
8,송년불꽃축제,경상남도,거제시,4831010200,장승포동,4.83E+11,경상남도 거제시 장승로 138 (장승포동),53322,34.8663093,128.7246401,20191231,2019,12,31,25781
16,거제학동몽돌해변 불꽃축제,경상남도,거제시,4831032028,동부면,4.83E+11,경상남도 거제시 동부면 거제대로 946,53332,34.77438469,128.6408652,20191019,2019,10,19,11827
35,제15회 창녕낙동강유채축제,경상남도,창녕군,4874025321,남지읍,4.87E+11,경상남도 창녕군 남지읍 낙동로 483,50359,35.389081,128.477232,20190409,2019,4,9,17902
40,거제 섬꽃축제,경상남도,거제시,4831034026,거제면,4.83E+11,경상남도 거제시 거제면 거제남서로 3577,53285,34.85656738,128.579596,20191026,2019,10,26,2328
81,제28회 함안낙화놀이,경상남도,함안군,4873031023,함안면,4.87E+11,경상남도 함안군 함안면 괴산4길 25,52051,35.25542023,128.4227474,20190512,2019,5,12,6101
82,무술년 삼칠민속줄다리기,경상남도,함안군,4873025321,칠원읍,4.87E+11,경상남도 함안군 칠원읍 원서로 4,52017,35.30883803,128.5185567,20190329,2019,3,29,24803
83,제32회 함안아라문화제,경상남도,함안군,4873025024,가야읍,4.87E+11,경상남도 함안군 가야읍 함안대로 619,52036,35.28326216,128.4001528,20190426,2019,4,26,5930
98,거제 옥포대첩 축제,경상남도,거제시,4831010600,옥포동,4.83E+11,경상남도 거제시 팔랑포2길 87,53214,34.90219568,128.7140612,20190614,2019,6,14,17168
131,제37회 부곡온천축제,경상남도,창녕군,4874042022,부곡면,4.87E+11,경상남도 창녕군 부곡면 원앙로 184,50365,35.43772692,128.5886091,20190402,2019,4,2,17134
241,당항포대첩축제,경상남도,고성군,4882040023,회화면,4.88E+11,경상남도 고성군 회화면 당항만로 1116,52915,35.05322615,128.3920276,20190426,2019,4,26,29136
330,가야문화축제,경상남도,김해시,4825010500,대성동,4.83E+11,경상남도 김해시 가야의길 126 (대성동),50917,35.23606039,128.8730826,20190418,2019,4,18,9187
