,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
2,희망달서 큰잔치,대구광역시,달서구,2729011000,장기동,2.73E+11,대구광역시 달서구 문화회관길 160 (장기동),42699,35.84285866,128.5221241,20201016,2020,10,16,16633
3,와룡민속한마당,대구광역시,달서구,2729010800,이곡동,2.73E+11,대구광역시 달서구 계대동문로 77 (이곡동),42611,35.85575426,128.500776,20200620,2020,6,20,25751
4,두류문화한마당,대구광역시,달서구,2729010200,두류동,2.73E+11,대구광역시 달서구 야외음악당로 180 (두류동),42672,35.85115165,128.5561993,20200522,2020,5,22,4018
7,코로나19에 따른 축제 일체 잠정 중단,대구광역시,동구,2714011600,동호동,2.71E+11,대구광역시 동구 경안로 700 (동호동),41085,35.86471972,128.7142948,20200101,2020,1,1,27510
85,장미꽃 필(feel)무렵,대구광역시,달서구,2729010800,이곡동,2.73E+11,대구광역시 달서구 선원남로 129 (이곡동),42615,35.85741363,128.514463,20200515,2020,5,15,3155
86,달서가족축제,대구광역시,달서구,2729011900,대천동,2.73E+11,대구광역시 달서구 성서공단로 40 (대천동),42716,35.83282135,128.4872359,20200505,2020,5,5,1236
197,제27회 대덕제 대구앞산축제,대구광역시,남구,2720010300,대명동,2.72E+11,대구광역시 남구 앞산순환로 351-17 (대명동),42496,35.831799,128.5645966,20200425,2020,4,25,18296
336,상화문학제,대구광역시,수성구,2726011100,두산동,2.73E+11,대구광역시 수성구 무학로 112 (두산동),42203,35.82937671,128.6205781,20200522,2020,5,22,12560
337,뮤직·수제맥주 페스티벌,대구광역시,수성구,2726011100,두산동,2.73E+11,대구광역시 수성구 무학로 112 (두산동),42203,35.82937671,128.6205781,20200619,2020,6,19,18171
338,수성못 뮤지컬 프린지 페스티벌,대구광역시,수성구,2726011100,두산동,2.73E+11,대구광역시 수성구 무학로 112 (두산동),42203,35.82937671,128.6205781,20200704,2020,7,4,14448
339,고모령 가요제,대구광역시,수성구,2726012700,대흥동,2.73E+11,대구광역시 수성구 유니버시아드로 140 (대흥동),42250,35.83165878,128.687326,20200829,2020,8,29,5065
340,수성못 페스티벌,대구광역시,수성구,2726011100,두산동,2.73E+11,대구광역시 수성구 무학로 112,42203,35.82937671,128.6205781,20200918,2020,9,18,11620
341,수성 건강 축제,대구광역시,수성구,2726012700,대흥동,2.73E+11,대구광역시 수성구 유니버시아드로 140 (대흥동),42250,35.83165878,128.687326,20200710,2020,7,10,29439
342,수성빛예술제,대구광역시,수성구,2726011100,두산동,2.73E+11,대구광역시 수성구 무학로 112 (두산동),42203,35.82937671,128.6205781,20201204,2020,12,4,6143
593,정월대보름 달맞이 행사,대구광역시,동구,2714011500,서호동,2.71E+11,대구광역시 동구 안심로50길 25,41101,37.89638739,127.0532018,20200208,2020,2,8,16679
41,금호강 바람소리길 축제,대구광역시,북구,2723011100,산격동,2.72E+11,대구광역시 북구 연암로42길 61,41502,35.90663896,128.6005355,20190928,2019,9,28,9165
42,대구국제패션문화페스티벌,대구광역시,북구,2723010600,침산동,2.72E+11,대구광역시 북구 호암로 51 (침산동),41585,35.88368816,128.5959763,20191012,2019,10,12,13266
49,대구국제오페라축제,대구광역시,북구,2723010200,칠성동2가,2.72E+11,대구광역시 북구 호암로 15 (칠성동2가),41585,35.8834639,128.5922335,20190913,2019,9,13,21193
50,대구국제재즈축제,대구광역시,중구,2711015600,남산동,2.71E+11,대구광역시 중구 중앙대로 273 (남산동),41968,35.8579242,128.5906996,20190919,2019,9,19,23149
51,2019컬러풀대구페스티벌,대구광역시,중구,2711010100,동인동1가,2.71E+11,대구광역시 중구 공평로 88 (동인동1가),41911,35.87155388,128.60122,20190504,2019,5,4,10960
52,국제보디페인팅축제,대구광역시,달서구,2729010200,두류동,2.73E+11,대구광역시 달서구 공원순환로 46 (두류동),42672,35.85086313,128.5576665,20190824,2019,8,24,21262
53,대구국제호러페스티벌,대구광역시,수성구,2726012700,대흥동,2.73E+11,대구광역시 수성구 유니버시아드로 180 (대흥동),42250,35.82976978,128.690163,20190802,2019,8,2,26621
54,대구치맥페스티벌,대구광역시,달서구,2729010200,두류동,2.73E+11,대구광역시 달서구 공원순환로 7 (두류동),42672,35.85074648,128.5616534,20190717,2019,7,17,26321
55,대구포크페스티벌,대구광역시,동구,2714010200,신천동,2.71E+11,대구광역시 동구 동대구로 461 (신천동),41260,35.87142055,128.6248352,20190726,2019,7,26,5037
56,대구약령시한방문화축제,대구광역시,중구,2711013700,남성로,2.71E+11,대구광역시 중구 달구벌대로415길 49 (남성로),41934,35.86851768,128.5899105,20190502,2019,5,2,29597
57,형형색색달구벌관등놀이,대구광역시,남구,2720010300,대명동,2.72E+11,대구광역시 남구 중앙대로51길 11 (대명동),42410,35.85619572,128.5897529,20190427,2019,4,27,25754
58,동아시아보자기페스티벌,대구광역시,북구,2723010600,침산동,2.72E+11,대구광역시 북구 호암로 51 (침산동),41585,35.88368816,128.5959763,20190928,2019,9,28,23259
59,대구국제뮤지컬페스티벌,대구광역시,북구,2723010600,침산동,2.72E+11,대구광역시 북구 호암로 51 (침산동),41585,35.88368816,128.5959763,20190621,2019,6,21,27715
112,금호강 정월대보름 축제,대구광역시,북구,2723011100,산격동,2.72E+11,대구광역시 북구 연암로42길 61,41502,35.90663896,128.6005355,20190219,2019,2,19,25694
113,해맞이 행사,대구광역시,북구,2723012300,구암동,2.72E+11,대구광역시 북구 구암로 238,41472,35.93228847,128.5675195,20190101,2019,1,1,13905
142,대구 글로벌게임문화축제 e-Fun,대구광역시,수성구,2726012700,대흥동,2.73E+11,대구광역시 수성구 알파시티1로 170 (대흥동),42250,35.83541672,128.6817838,20190831,2019,8,31,21457
143,팔공산 산중전통장터 승시,대구광역시,동구,2714013400,도학동,2.71E+11,대구광역시 동구 동화사1길 1 (도학동),41007,35.98450098,128.6987706,20191005,2019,10,5,10530
310,김광석추모콘서트,대구광역시,중구,2711015700,대봉동,2.71E+11,대구광역시 중구 달구벌대로 2232-18,41951,35.859472,128.6044017,20190106,2019,1,6,18278
311,봉산도자기축제,대구광역시,중구,2711010800,봉산동,2.71E+11,대구광역시 중구 봉산문화2길 36,41959,35.863797,128.596776,20190419,2019,4,19,27101
312,2019 대구약령시한방문화축제,대구광역시,중구,2711011900,동성로3가,2.71E+11,대구광역시 중구 동성로3가 중앙대로 379-2,41936,35.86728621,128.5933489,20190502,2019,5,2,7196
313,동성로축제,대구광역시,중구,2711012300,동성로2가,2.71E+11,대구광역시 중구 동성로 28 (동성로2가),41938,35.869181,128.595424,20190510,2019,5,10,16894
