,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
323,2020 대전 서구힐링 아트페스티벌,대전광역시,서구,3017011200,둔산동,3.02E+11,대전광역시 서구 둔산서로 100 (둔산동),35238,36.35505672,127.3833597,20200522,2020,5,22,18078
71,효문화뿌리축제,대전광역시,중구,3014011900,안영동,3.01E+11,대전광역시 중구 뿌리공원로 47 (안영동),35074,36.2859869,127.3836984,20190927,2019,9,27,10174
518,대청호대덕뮤직패스티벌,대전광역시,대덕구,3023012500,미호동,3.02E+11,대전광역시 대덕구 대청로 607 (미호동),34316,36.47362538,127.4735679,20190406,2019,4,6,16713
519,동춘당문화제,대전광역시,대덕구,3023010700,송촌동,3.02E+11,대전광역시 대덕구 동춘당로 80,34402,36.36537889,127.4412933,20190419,2019,4,19,16435
689,제13회 신성한마음축제,대전광역시,유성구,3020012500,신성동,3.02E+11,대전광역시 유성구 가정로 120 (신성동),34128,36.38422742,127.357276,20190810,2019,8,10,2956
690,제17회 한여름밤의 축제,대전광역시,유성구,3020014100,전민동,3.02E+11,대전광역시 유성구 엑스포로 476 (전민동),34049,36.3985684,127.4053327,20190824,2019,8,24,4024
691,제3회 노은3동한마음축제,대전광역시,유성구,3020012000,지족동,3.02E+11,대전광역시 유성구 지족로 240,34073,36.38411195,127.305374,20190920,2019,9,20,21810
692,2019 노은한마음축제,대전광역시,유성구,3020013200,하기동,3.02E+11,대전광역시 유성구 북유성대로 228 (하기동),34061,36.38620154,127.319542,20190927,2019,9,27,26289
693,제9회 관평골축제,대전광역시,유성구,3020014600,관평동,3.02E+11,대전광역시 유성구 테크노중앙로 88,34030,36.4243927,127.3940968,20191011,2019,10,11,14134
694,제14회 구즉한마당축제,대전광역시,유성구,3020014700,송강동,3.02E+11,대전광역시 유성구 송강로42번길 34 (송강동),34008,36.43500958,127.3841005,20191012,2019,10,12,21964
695,제21회 진잠주민화합한마당,대전광역시,유성구,3020010100,원내동,3.02E+11,대전광역시 유성구 진잠로59번길 53 (원내동),34229,36.29952727,127.3150867,20191019,2019,10,19,27995
