,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
373,조선통신사 축제,부산광역시,중구,2611013100,창선동1가,2.61E+11,부산광역시 중구 광복중앙로 3 (창선동1가),48948,35.09953937,129.0311369,20201001,2020,10,1,29156
374,광복로연등문화제,부산광역시,중구,2611013400,광복동2가,2.61E+11,부산광역시 중구 광복로77번길 5 (광복동2가),48952,35.09905809,129.0333969,20200414,2020,4,14,22075
375,보수동책방골목문화축제,부산광역시,중구,2611012000,보수동1가,2.61E+11,부산광역시 중구 흑교로46번길 11 (보수동1가),48967,35.10362715,129.0261809,20201001,2020,10,1,20825
376,부산국제영화제 전야제,부산광역시,중구,2611014000,남포동5가,2.61E+11,부산광역시 중구 비프광장로 36 (남포동5가),48953,35.09862035,129.0287588,20201006,2020,10,6,7028
377,부산자갈치축제,부산광역시,중구,2611013900,남포동4가,2.61E+11,부산광역시 중구 자갈치해안로 52 (남포동4가),48983,35.0966394,129.0305933,20201008,2020,10,8,28312
378,부산크리스마스트리문화축제,부산광역시,중구,2611013400,광복동2가,2.61E+11,부산광역시 중구 광복중앙로 2 (광복동2가),48952,35.0995432,129.0314651,20201128,2020,11,28,28580
476,해운대 북극곰축제,부산광역시,해운대구,2635010500,우동,2.64E+11,부산광역시 해운대구 해운대해변로 264 (우동),48100,35.15910673,129.1602827,20200104,2020,1,4,5915
477,원도심활성화 축제,부산광역시,중구,2611011600,대청동1가,2.61E+11,부산광역시 중구 대청동1가 중구로 120,48926,35.10619853,129.0323505,20200912,2020,9,12,19421
478,부산불꽃축제,부산광역시,수영구,2650010400,광안동,2.65E+11,부산광역시 수영구 광안로 64 (광안동),48303,35.1543923,129.1188448,20201107,2020,11,7,16979
479,부산크리스마스트리축제,부산광역시,중구,2611012400,부평동2가,2.61E+11,부산광역시 중구 부평동2가 광복로6번길 3,48980,35.09929696,129.0258061,20201101,2020,11,1,13669
480,부산시민의종 타종식,부산광역시,중구,2611013400,광복동2가,2.61E+11,부산광역시 중구 용두산길 37-55 (광복동2가),48950,35.1009305,129.0324434,20201231,2020,12,31,5580
481,부산항축제,부산광역시,동구,2617010100,초량동,2.62E+11,부산광역시 동구 충장대로 206 (초량동),48751,35.11774625,129.0491459,20201017,2020,10,17,18620
482,조선통신사 축제,부산광역시,중구,2611013400,광복동2가,2.61E+11,부산광역시 중구 용두산길 37-55 (광복동2가),48950,35.1009305,129.0324434,20201024,2020,10,24,29022
505,동래읍성역사축제,부산광역시,동래구,2626010700,명륜동,2.63E+11,부산광역시 동래구 문화로 80 (명륜동),47746,35.21195234,129.090544,20201009,2020,10,9,1923
513,제20회 사상전통달집놀이,부산광역시,사상구,2653010100,삼락동,2.65E+11,부산광역시 사상구 낙동대로1310번길 19 (삼락동),46911,35.17701002,128.9776397,20200208,2020,2,8,18188
514,제12회 삼락벚꽃축제,부산광역시,사상구,2653010100,삼락동,2.65E+11,부산광역시 사상구 낙동대로1310번길 19 (삼락동),46911,35.17701002,128.9776397,20200328,2020,3,28,25088
515,제19회 사상강변축제,부산광역시,사상구,2653010100,삼락동,2.65E+11,부산광역시 사상구 낙동대로1310번길 19 (삼락동),46911,35.17701002,128.9776397,20200328,2020,3,28,10534
551,사하예술제,부산광역시,사하구,2638010300,하단동,2.64E+11,부산광역시 사하구 낙동남로1233번길 25 (하단동),49300,35.110059,128.9446778,20201018,2020,10,18,14134
577,부산 차이나타운특구 문화축제,부산광역시,동구,2617010100,초량동,2.62E+11,부산광역시 동구 초량중로 36 (초량동),48818,35.11507608,129.0375502,20201016,2020,10,16,17543
578,영도구룡축제,부산광역시,영도구,2620012100,동삼동,2.62E+11,부산광역시 영도구 중리로 44-1 (동삼동),49115,35.0749124,129.0684034,20200101,2020,1,1,19148
579,동삼풍어제,부산광역시,영도구,2620012100,동삼동,2.62E+11,부산광역시 영도구 하리해안길 12 (동삼동),49125,35.06937472,129.0809397,20200101,2020,1,1,16669
580,발복기원제,부산광역시,영도구,2620012000,청학동,2.62E+11,부산광역시 영도구 벚꽃길 117,49087,35.0819541,129.0552017,20200611,2020,6,11,18761
581,제15회 수국꽃 문화축제,부산광역시,영도구,2620012100,동삼동,2.62E+11,부산광역시 영도구 전망로 119 (동삼동),49127,35.05597301,129.0897518,20200101,2020,1,1,4589
604,제11회서면우리문화축제,부산광역시,부산진구,2623010500,범전동,2.62E+11,부산광역시 부산진구 시민공원로 73 (범전동),47197,35.16545561,129.0558558,20201015,2020,10,15,7005
605,제10회 부산진구 북페스티벌,부산광역시,부산진구,2623010500,범전동,2.62E+11,부산광역시 부산진구 시민공원로 73 (범전동),47197,35.16545561,129.0558558,20200919,2020,9,19,24432
606,서면메디컬스트리트 축제,부산광역시,부산진구,2623010300,부전동,2.62E+11,부산광역시 부산진구 가야대로 777,47257,35.1579588,129.0566547,20201023,2020,10,23,12370
