,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
157,구로G페스티벌,서울특별시,구로구,1153010200,구로동,1.15E+11,서울특별시 구로구 경인로53길 15,8217,37.501473,126.872383,20200901,2020,9,1,23324
173,동작구 도서관 축제,서울특별시,동작구,1159010800,대방동,1.16E+11,서울특별시 동작구 노량진로 74 (대방동),6927,37.51272028,126.9333201,20200530,2020,5,30,20434
174,2020 동작복지나눔축제,서울특별시,동작구,1159010200,상도동,1.16E+11,서울특별시 동작구 상도로 369 (상도동),6978,37.4964296,126.9551598,20200905,2020,9,5,7398
201,2020년 코로나로 인해 예정된 문화축제 없음,서울특별시,양천구,1147010100,신정동,1.15E+11,서울특별시 양천구 목동동로 105 (신정동),8095,37.51707502,126.866542,20200101,2020,1,1,17103
434,세계거리춤축제,서울특별시,동대문구,1123010600,장안동,1.12E+11,서울특별시 동대문구 천호대로 405 (장안동),2633,37.56201359,127.0641794,20200919,2020,9,19,18234
435,청룡문화제,서울특별시,동대문구,1123010200,용두동,1.12E+11,서울특별시 동대문구 청계천로 563 (용두동),2590,37.57325834,127.0385968,20201024,2020,10,24,8539
582,응봉산 해맞이축제,서울특별시,성동구,1120010800,응봉동,1.12E+11,서울특별시 성동구 독서당로60길 13-1,4742,37.548551,127.030821,20200101,2020,1,1,1074
603,제13회 마포나루 새우젓축제,서울특별시,마포구,1144012500,성산동,1.14E+11,서울특별시 마포구 월드컵로 243-60 (성산동),3901,37.56352625,126.8984363,20201016,2020,10,16,15502
608,해맞이축제,서울특별시,강서구,1150011000,개화동,1.15E+11,서울특별시 강서구 금낭화로17길 213 (개화동),7504,37.58138626,126.8054465,20200101,2020,1,1,11836
609,개화산 봄꽃축제,서울특별시,강서구,1150010900,방화동,1.15E+11,서울특별시 강서구 금낭화로 176 (방화동),7508,37.58093172,126.8141197,20200418,2020,4,18,2118
610,우장산 신록축제,서울특별시,강서구,1150010600,내발산동,1.15E+11,서울특별시 강서구 우장산로 66 (내발산동),7684,37.55343651,126.8436485,20200523,2020,5,23,23735
611,허준축제,서울특별시,강서구,1150010400,가양동,1.15E+11,서울특별시 강서구 허준로5길 42 (가양동),7525,37.56759867,126.8537291,20201009,2020,10,9,3495
647,석촌호수벚꽃축제,서울특별시,송파구,1171010100,잠실동,1.17E+11,서울특별시 송파구 석촌호수로 197 (잠실동),5608,37.5066934,127.0989034,20200403,2020,4,3,29962
648,한성백제문화제,서울특별시,송파구,1171011100,방이동,1.17E+11,서울특별시 송파구 올림픽로 424 (방이동),5540,37.52034114,127.1155184,20200923,2020,9,23,9286
715,서울장미축제,서울특별시,중랑구,1126010400,묵동,1.13E+11,"서울특별시 중랑구 중랑천로 332 (묵동, 묵동한국아파트)",2003,37.6148099,127.073526,20200515,2020,5,15,8364
716,용마폭포 문화예술축제,서울특별시,중랑구,1126010100,면목동,1.13E+11,서울특별시 중랑구 용마산로 250-12 (면목동),2257,37.573335,127.089125,20201010,2020,10,10,15014
