,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
11,주안미디어문화축제,인천광역시,미추홀구,2817710500,주안동,2.82E+11,인천광역시 미추홀구 경인로 351,22139,37.458746,126.679586,20200918,2020,9,18,1744
80,인천 원도사제,인천광역시,미추홀구,2817710200,용현동,2.82E+11,인천광역시 미추홀구 용정공원로 28 (용현동),22187,37.4506785,126.642827,20201009,2020,10,9,27263
181,2020 부평풍물대축제,인천광역시,부평구,2823710100,부평동,2.82E+11,인천광역시 부평구 부평대로 69 (부평동),21388,37.49765011,126.7220754,20201016,2020,10,16,5319
422,제2회 인천 송도크루즈 불꽃축제,인천광역시,연수구,2818510600,송도동,2.82E+11,인천광역시 연수구 국제항만대로 438 (송도동),22016,37.425126,126.5916752,20200822,2020,8,22,5267
423,제11회 연수 능허대 문화축제,인천광역시,연수구,2818510300,연수동,2.82E+11,인천광역시 연수구 새말로 120 (연수동),21928,37.41807754,126.6824114,20201010,2020,10,10,6127
424,어린이 축제,인천광역시,중구,2811010500,해안동1가,2.81E+11,인천광역시 중구 제물량로218번길 3 (해안동1가),22314,37.4727812,126.6205961,20201010,2020,10,10,15627
425,무의도 춤축제,인천광역시,중구,2811015200,무의동,2.81E+11,인천광역시 중구 하나개로 151-8 (무의동),22387,37.38415996,126.4108191,20200801,2020,8,1,28027
426,인천상륙작전 문화공연,인천광역시,중구,2811013800,북성동1가,2.81E+11,인천광역시 중구 월미로233번길 7 (북성동1가),22302,37.47463888,126.6003144,20200912,2020,9,12,27954
427,연안부두 축제,인천광역시,중구,2811011800,항동7가,2.81E+11,인천광역시 중구 연안부두로33번길 37 (항동7가),22348,37.45413694,126.607164,20201017,2020,10,17,19888
428,개항장뮤직페스티벌,인천광역시,중구,2811010900,관동1가,2.81E+11,인천광역시 중구 신포로27번길 80 (관동1가),22315,37.47408104,126.6213401,20201031,2020,10,31,8394
429,자유공원 벚꽃축제,인천광역시,중구,2811011900,송학동1가,2.81E+11,인천광역시 중구 자유공원남로 25 (송학동1가),22315,37.47457903,126.6226671,20200912,2020,9,12,12759
430,신포크리스마스트리 축제,인천광역시,중구,2811011100,관동3가,2.81E+11,인천광역시 중구 신포로 35 (관동3가),22315,37.47200022,126.625463,20201128,2020,11,28,25352
431,불꽃축제,인천광역시,중구,2811014500,중산동,2.81E+11,인천광역시 중구 하늘달빛로2번길 6 (중산동),22409,37.48175399,126.5658109,20201024,2020,10,24,19329
432,인천개항장 문화재야행,인천광역시,중구,2811010900,관동1가,2.81E+11,인천광역시 중구 신포로27번길 80 (관동1가),22315,37.47408104,126.6213401,20200502,2020,5,2,22756
433,인천개항장 문화재야행,인천광역시,중구,2811010900,관동1가,2.81E+11,인천광역시 중구 신포로27번길 80 (관동1가),22315,37.47408104,126.6213401,20200912,2020,9,12,9402
576,정서진 해넘이 축제,인천광역시,서구,2826011900,오류동,2.83E+11,인천광역시 서구 정서진1로 41 (오류동),22850,37.55843765,126.6074637,20201231,2020,12,31,6699
588,계양산국악제,인천광역시,계양구,2824510200,계산동,2.82E+11,인천광역시 계양구 주부토로 570 (계산동),21030,37.54504438,126.7289968,20200912,2020,9,12,21637
14,옹진군 해넘이 및 제야의 밤,인천광역시,옹진군,2872031024,북도면,2.87E+11,인천광역시 옹진군 북도면 장봉로 193,23112,37.53014696,126.372272,20191231,2019,12,31,10155
15,국사봉 해맞이행사,인천광역시,옹진군,2872036022,영흥면,2.87E+11,인천광역시 옹진군 영흥면 영흥북로231번길 3,23118,37.27012096,126.4931449,20191231,2019,12,31,23725
322,제30회 화도진축제,인천광역시,동구,2814010300,송현동,2.81E+11,인천광역시 동구 수문통로 4,22550,37.476747,126.632239,20190510,2019,5,10,14168
812,고려산진달래축제,인천광역시,강화군,2871037023,하점면,2.87E+11,인천광역시 강화군 하점면 강화대로 994-19,23014,37.77370952,126.4353365,20190420,2019,4,20,5742
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
