,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
145,가로수사랑음악회,전라남도,담양군,4671025023,담양읍,4.67E+11,전라남도 담양군 담양읍 지침3길 7-5,57344,35.31617363,126.9840063,20201103,2020,11,3,21291
146,창평전통음식문화축제,전라남도,담양군,4671034021,창평면,4.67E+11,전라남도 담양군 창평면 돌담길 56-24,57389,35.23525084,127.017861,20201026,2020,10,26,1055
147,추월산벚꽃축제,전라남도,담양군,4671038023,용면,4.67E+11,전라남도 담양군 용면 추월산로 369,57302,35.36449265,126.9872053,20200407,2020,4,7,18398
148,담양산타축제,전라남도,담양군,4671025024,담양읍,4.67E+11,전라남도 담양군 담양읍 추성로 1371,57339,35.32121077,126.9881755,20201211,2020,12,11,12518
149,담양대나무축제,전라남도,담양군,4671025024,담양읍,4.67E+11,전라남도 담양군 담양읍 추성로 1371,57339,35.32121077,126.9881755,20200430,2020,4,30,29984
190,보성차밭 빛축제,전라남도,보성군,4678025024,보성읍,4.68E+11,전라남도 보성군 보성읍 녹차로 775,59448,34.7198767,127.081709,20201211,2020,12,11,17891
192,보성차밭 빛축제,전라남도,보성군,4678025024,보성읍,4.68E+11,전라남도 보성군 보성읍 녹차로 775,59448,34.7198767,127.081709,20201211,2020,12,11,25987
195,제24회 무안연꽃추제,전라남도,무안군,4684025331,일로읍,4.68E+11,전라남도 무안군 일로읍 백련로 333,58571,34.86008849,126.5298962,20200723,2020,7,23,14646
196,제8회 무안황토갯벌축제,전라남도,무안군,4684036021,해제면,4.68E+11,전라남도 무안군 해제면 용산길 140,58504,35.10332391,126.3319409,20200612,2020,6,12,2113
343,화순고인돌문화축제,전라남도,화순군,4679036022,도곡면,4.68E+11,전라남도 화순군 도곡면 효자1길 20,58154,34.98557648,126.918716,20200919,2020,9,19,27027
344,화순 국화향연,전라남도,화순군,4679025030,화순읍,4.68E+11,전라남도 화순군 화순읍 진각로 85,58122,35.05831397,126.9851617,20201023,2020,10,23,2541
345,화순적벽 문화축제,전라남도,화순군,4679038027,이서면,4.68E+11,전라남도 화순군 이서면 백아로 3114,58103,35.11101204,127.0791227,20201030,2020,10,30,13132
348,불갑산상사화축제,전라남도,영광군,4687033026,불갑면,4.69E+11,전라남도 영광군 불갑면 불갑사로 450,57058,35.19967453,126.5500459,20200918,2020,9,18,24497
357,땅끝매화축제,전라남도,해남군,4682041024,산이면,4.68E+11,전라남도 해남군 산이면 예덕길 125-89,59012,34.62452401,126.463392,20200307,2020,3,7,23745
358,달마고도 걷기축제,전라남도,해남군,4682034034,송지면,4.68E+11,전라남도 해남군 송지면 미황사길 164,59067,34.38223237,126.5779589,20200328,2020,3,28,24831
359,흑석산 철쭉제,전라남도,해남군,4682038032,계곡면,4.68E+11,전라남도 해남군 계곡면 산골길 306,59017,34.6709354,126.6169962,20200425,2020,4,25,19759
360,연호보리축제,전라남도,해남군,4682040023,황산면,4.68E+11,전라남도 해남군 황산면 원금길 162-51,59008,34.59870438,126.4913358,20200530,2020,5,30,21102
361,땅끝수국축제,전라남도,해남군,4682033029,현산면,4.68E+11,전라남도 해남군 현산면 봉동길 232-118,59060,34.45321139,126.5955014,20200610,2020,6,10,25246
362,송호해변여름축제,전라남도,해남군,4682034030,송지면,4.68E+11,전라남도 해남군 송지면 땅끝해안로 1813,59065,34.31571344,126.51895,20200718,2020,7,18,22574
363,오시아노 樂 페스티벌,전라남도,해남군,4682043032,화원면,4.68E+11,전라남도 해남군 화원면 시아로 552,59002,34.670829,126.260601,20200814,2020,8,14,14569
364,북평용줄다리기 축제,전라남도,해남군,4682035021,북평면,4.68E+11,전라남도 해남군 북평면 한밭등길 5-1,59055,34.40370907,126.6280888,20201023,2020,10,23,25470
365,땅끝 해넘이·해맞이 축제,전라남도,해남군,4682034030,송지면,4.68E+11,전라남도 해남군 송지면 땅끝마을길 70-14,59065,34.2982093,126.5293983,20201231,2020,12,31,18979
485,제17회 추억의 충장축제,광주광역시,동구,2911011800,서석동,2.91E+11,광주광역시 동구 서남로 1 (서석동),61466,35.1461414,126.9230951,20201014,2020,10,14,4804
492,광양매화축제,전라남도,광양시,4623010600,중동,4.62E+11,전라남도 광양시 시청로 33 (중동),57785,34.94063056,127.6959675,20200101,2020,1,1,20064
493,백운산국사봉철쭉축제,전라남도,광양시,4623033024,옥곡면,4.62E+11,전라남도 광양시 옥곡면 옥진로 665-1,57726,34.98936299,127.7001825,20200101,2020,1,1,21429
494,광양전어축제,전라남도,광양시,4623035021,진월면,4.62E+11,전라남도 광양시 진월면 망덕길 265,57712,34.97164706,127.7587907,20200101,2020,1,1,17802
495,광양숯불구이축제,전라남도,광양시,4623025023,광양읍,4.62E+11,전라남도 광양시 광양읍 남등길 6,57739,34.9733415,127.5810489,20200101,2020,1,1,2976
506,백양단풍축제,전라남도,장성군,4688040025,북하면,4.69E+11,전라남도 장성군 북하면 백양로 1239,57205,35.43972586,126.8828597,20201101,2020,11,1,8683
507,빈센트의 봄,전라남도,장성군,4688025024,장성읍,4.69E+11,전라남도 장성군 장성읍 역전로 87,57220,35.29995636,126.780147,20200411,2020,4,11,13606
508,코로나19로 인한 축제 미정,전라남도,진도군,4690025023,진도읍,4.69E+11,전라남도 진도군 진도읍 철마길 25,58915,34.48620924,126.2629813,20200101,2020,1,1,12691
602,2020 대한민국 국향대전,전라남도,함평군,4686025023,함평읍,4.69E+11,전라남도 함평군 함평읍 함장로 1160,57143,35.05618964,126.5199487,20201016,2020,10,16,11710
637,서구민한가족대축제,광주광역시,서구,2914012000,치평동,2.91E+11,광주광역시 서구 상무공원로 101 (치평동),61953,35.15339511,126.8410975,20200501,2020,5,1,11714
638,전국 애송시 낭송대회,광주광역시,서구,2914013000,금호동,2.91E+11,광주광역시 서구 풍금로 182 (금호동),62015,35.13196581,126.8598511,20200501,2020,5,1,8686
639,만드리 풍년제,광주광역시,서구,2914012500,서창동,2.91E+11,광주광역시 서구 서창발산길 10 (서창동),62077,35.1071746,126.8231387,20200701,2020,7,1,20359
640,영산강 서창들녁 억새축제,광주광역시,서구,2914012900,벽진동,2.91E+11,광주광역시 서구 서창둑길 377 (벽진동),62076,35.13849504,126.828739,20201001,2020,10,1,15255
641,서구여성합창단 정기 연주회,광주광역시,서구,2914010600,농성동,2.91E+11,광주광역시 서구 경열로 33 (농성동),61928,35.15202894,126.890113,20201101,2020,11,1,11015
649,제23회 전라병영성 축제,전라남도,강진군,4681038024,병영면,4.68E+11,전라남도 강진군 병영면 병영성로 175,59214,34.72004452,126.8171446,20200429,2020,4,29,24275
650,제48회 강진청자축제,전라남도,강진군,4681033022,대구면,4.68E+11,전라남도 강진군 대구면 청자촌길 33,59263,34.50866041,126.8008375,20201008,2020,10,8,19113
651,제5회 강진만 춤추는 갈대축제,전라남도,강진군,4681025025,강진읍,4.68E+11,전라남도 강진군 강진읍 남당로 97-23,59240,34.6259705,126.7724317,20201023,2020,10,23,14207
