,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
79,장수 한우랑 사과랑 축제,전라북도,장수군,4574025027,장수읍,4.57E+11,전라북도 장수군 장수읍 한누리로 393,55638,35.6411154,127.5181094,20201029,2020,10,29,1776
229,제53회 황토현동학농민혁명기념제,전라북도,정읍시,4518036021,덕천면,4.52E+11,전라북도 정읍시 덕천면 동학로 742,56149,35.63130705,126.8313917,20200509,2020,5,9,3456
230,제31회 정읍사문화제,전라북도,정읍시,4518010400,시기동,4.52E+11,전라북도 정읍시 정읍사로 541 (시기동),56204,35.55073015,126.8615763,20200926,2020,9,26,28623
231,제14회 정읍 평생학습축제 및 제6회 주민자치 프로그램 발표회,전라북도,정읍시,4518010500,연지동,4.52E+11,전라북도 정읍시 중앙로 73 (연지동),56161,35.57039929,126.8489005,20201017,2020,10,17,5767
232,제15회 정읍 구절초꽃축제,전라북도,정읍시,4518043023,산내면,4.52E+11,전라북도 정읍시 산내면 청정로 926-65,56127,35.55427272,127.0188952,20200926,2020,9,26,29471
233,2020 정읍벚꽃축제,전라북도,정읍시,4518010400,시기동,4.52E+11,전라북도 정읍시 벚꽃로 401 (시기동),56164,35.561248,126.8557305,20200404,2020,4,4,24567
366,군산시간여행축제,전라북도,군산시,4513011800,중앙로1가,4.51E+11,전라북도 군산시 중앙로 178 (중앙로1가),54021,35.98772627,126.711725,20201009,2020,10,9,23372
557,제12회 진안고원 수박축제,전라북도,진안군,4572033023,동향면,4.57E+11,전라북도 진안군 동향면 진성로 1687,55446,35.84147509,127.5747127,20200801,2020,8,1,6379
558,2020 진안홍삼축제,전라북도,진안군,4572025023,진안읍,4.57E+11,전라북도 진안군 진안읍 마이산로 160,55438,35.773251,127.4162556,20201009,2020,10,9,11342
617,부안마실축제,전라북도,부안군,4580025022,부안읍,4.58E+11,전라북도 부안군 부안읍 매창로 89,56312,35.71882124,126.7286953,20200918,2020,9,18,16793
