,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
187,연산백중놀이,충청남도,논산시,4423036021,연산면,4.42E+11,충청남도 논산시 연산면 연산4길 10-7,32911,36.21626789,127.216075,20200902,2020,9,2,11734
188,상월고구마축제,충청남도,논산시,4423034027,상월면,4.42E+11,충청남도 논산시 상월면 상월로 522,32906,36.30682479,127.1897138,20200919,2020,9,19,10266
332,부여서동연꽃축제,충청남도,부여군,4476025028,부여읍,4.48E+11,충청남도 부여군 부여읍 궁남로 52,33165,36.27145891,126.9136908,20200711,2020,7,11,16813
333,백제문화제,충청남도,부여군,4476025028,부여읍,4.48E+11,충청남도 부여군 부여읍 정림로 83,33150,36.27902473,126.9128811,20200926,2020,9,26,29050
334,홍성역사인물축제,충청남도,홍성군,4480025021,홍성읍,4.48E+11,충청남도 홍성군 홍성읍 아문길 27,32228,36.6017196,126.6613896,20200503,2020,5,3,8668
444,서산국화축제,충청남도,서산시,4421040021,고북면,4.42E+11,충청남도 서산시 고북면 복남골길 31-1,32027,36.66936247,126.536256,20201030,2020,10,30,14805
475,예산장터삼국축제,충청남도,예산군,4481025023,예산읍,4.48E+11,충청남도 예산군 예산읍 천변로 160,32438,36.67611933,126.8479256,20201016,2020,10,16,5724
509,금산인삼축제,충청남도,금산군,4471025021,금산읍,4.47E+11,충청남도 금산군 금산읍 인삼광장로 30,32739,36.1000256,127.5007304,20201009,2020,10,9,13280
510,비단고을산꽃축제,충청남도,금산군,4471034030,군북면,4.47E+11,충청남도 금산군 군북면 자진뱅이길 95,32717,36.19093401,127.5710874,20200418,2020,4,18,16516
511,금산천봄꽃축제,충청남도,금산군,4471025026,금산읍,4.47E+11,충청남도 금산군 금산읍 금산천길 28,32746,36.1020211,127.4843123,20200404,2020,4,4,22471
512,남일면홍도화축제,충청남도,금산군,4471035026,남일면,4.47E+11,충청남도 금산군 남일면 대홍로 632-8,32760,36.0171101,127.5180376,20200418,2020,4,18,29207
520,천안흥타령춤축제,충청남도,천안시 동남구,4413111000,삼룡동,4.41E+11,충청남도 천안시 동남구 삼룡4길 118-9 (삼룡동),31072,36.78248616,127.1667805,20200923,2020,9,23,29618
521,공주 석장리 세계구석기축제,충청남도,공주시,4415012500,석장리동,4.42E+11,충청남도 공주시 금벽로 990 (석장리동),32591,36.44795221,127.1875895,20200612,2020,6,12,22875
522,백제문화제,충청남도,공주시,4415012000,신관동,4.42E+11,충청남도 공주시 금벽로 368 (신관동),32573,36.47021463,127.1274371,20200926,2020,9,26,26732
523,보령머드축제,충청남도,보령시,4418011000,신흑동,4.42E+11,충청남도 보령시 머드로 123 (신흑동),33489,36.3155199,126.5108563,20200717,2020,7,17,23304
524,무창포신비의바닷길축제,충청남도,보령시,4418025028,웅천읍,4.42E+11,충청남도 보령시 웅천읍 열린바다1길 35,33508,36.2424253,126.5350884,20200830,2020,8,30,10168
525,류방택 별 축제,충청남도,서산시,4421010100,읍내동,4.42E+11,충청남도 서산시 문화로 54 (읍내동),31970,36.7861429,126.4486172,20200627,2020,6,27,15299
526,서산해미읍성축제,충청남도,서산시,4421039021,해미면,4.42E+11,충청남도 서산시 해미면 남문2로 143,31960,36.71355717,126.5503842,20201009,2020,10,9,4009
527,서산국화축제,충청남도,서산시,4421040021,고북면,4.42E+11,충청남도 서산시 고북면 복남골길 31-1,32027,36.6693265,126.536271,20201030,2020,10,30,9856
528,강경젓갈축제,충청남도,논산시,4423025030,강경읍,4.42E+11,충청남도 논산시 강경읍 금백로 45,32930,36.15755616,127.0098062,20201016,2020,10,16,22887
529,2020계룡세계군문화엑스포,충청남도,계룡시,4425033023,신도안면,4.43E+11,충청남도 계룡시 신도안면 계룡대로 663,32800,36.30026666,127.2198246,20200918,2020,9,18,28977
530,왜목해돋이축제,충청남도,당진시,4427010600,수청동,4.43E+11,충청남도 당진시 시청1로 1 (수청동),31773,36.88973998,126.6459689,20201231,2020,12,31,23087
531,심훈상록문화제,충청남도,당진시,4427010600,수청동,4.43E+11,충청남도 당진시 시청1로 1,31773,36.889754,126.6459689,20200918,2020,9,18,10940
532,부여서동연꽃축제,충청남도,부여군,4476025028,부여읍,4.48E+11,충청남도 부여군 부여읍 궁남로 52,33165,36.27145891,126.9136908,20200711,2020,7,11,20896
533,백제문화제,충청남도,부여군,4476025032,부여읍,4.48E+11,충청남도 부여군 부여읍 백강로 148,33142,36.28714312,126.9068121,20200926,2020,9,26,28911
534,춘장대해수욕장 여름문화예술축제,충청남도,서천군,4477041028,서면,4.48E+11,충청남도 서천군 서면 춘장대길 20,33603,36.16334922,126.5243355,20200731,2020,7,31,20966
535,자연산 광어.도미 축제,충청남도,서천군,4477041022,서면,4.48E+11,충청남도 서천군 서면 서인로 56,33604,36.1293642,126.5036472,20200516,2020,5,16,5565
536,마량포 해넘이.해돋이 축제,충청남도,서천군,4477041022,서면,4.48E+11,충청남도 서천군 서면 서인로 56,33604,36.1293642,126.5036472,20201231,2020,12,31,2785
537,한산모시문화제,충청남도,서천군,4477034021,한산면,4.48E+11,충청남도 서천군 한산면 충절로 1089,33624,36.07994424,126.7987047,20200612,2020,6,12,25982
538,청양고추.구기자축제,충청남도,청양군,4479025024,청양읍,4.48E+11,충청남도 청양군 청양읍 은천동길 16-6,33303,36.44318403,126.7995863,20200904,2020,9,4,12077
539,홍성남당항새조개축제,충청남도,홍성군,4480037027,서부면,4.48E+11,충청남도 홍성군 서부면 남당항로213번길 25-62,32206,36.53503195,126.467178,20200118,2020,1,18,21912
540,홍성한우바비큐페스티벌,충청남도,홍성군,4480025021,홍성읍,4.48E+11,충청남도 홍성군 홍성읍 아문길 27,32228,36.6017196,126.6613896,20201030,2020,10,30,18519
