,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
133,영동국악과일와인축제,충청북도,영동군,4374025027,영동읍,4.37E+11,충청북도 영동군 영동읍 영동황간로 122,29150,36.16401536,127.7819468,20200901,2020,9,1,20012
137,충주농산물한마당축제,충청북도,충주시,4313012800,금릉동,4.31E+11,충청북도 충주시 남한강로 24 (금릉동),27438,36.98782919,127.9055691,20201001,2020,10,1,21721
138,제16회 제천국제음악영화제,충청북도,제천시,4315032046,청풍면,4.32E+11,충청북도 제천시 청풍면 청풍호로50길 6,27215,37.01083356,128.1811895,20200813,2020,8,13,25347
139,제25회 오장환문학제,충청북도,보은군,4372038521,회인면,4.37E+11,충청북도 보은군 회인면 회인로5길 12,28929,36.4933575,127.5964471,20201001,2020,10,1,20410
140,제45회 중봉충렬제,충청북도,옥천군,4373032027,안남면,4.37E+11,충청북도 옥천군 안남면 도농1길 71-1,29009,36.38071082,127.6893425,20201015,2020,10,15,7662
150,괴산고추축제,충청북도,괴산군,4376025022,괴산읍,4.38E+11,충청북도 괴산군 괴산읍 임꺽정로 75,28026,36.81344157,127.7885377,20200903,2020,9,3,2598
151,괴산김장축제,충청북도,괴산군,4376025022,괴산읍,4.38E+11,충청북도 괴산군 괴산읍 임꺽정로 75,28026,36.81344157,127.7885377,20201106,2020,11,6,29288
152,괴산유기농페스티벌,충청북도,괴산군,4376025022,괴산읍,4.38E+11,충청북도 괴산군 괴산읍 임꺽정로 75,28026,36.81344157,127.7885377,20201016,2020,10,16,29082
153,제24회 단양 온달문화축제,충청북도,단양군,4380033022,영춘면,4.38E+11,충청북도 단양군 영춘면 온달로 23,27020,37.06295564,128.4929221,20201023,2020,10,23,23740
154,2020 청원생명축제,충청북도,청주시 청원구,4311425347,오창읍,4.31E+11,충청북도 청주시 청원구 오창읍 미래지로 99,28107,36.73315885,127.4074026,20200918,2020,9,18,6611
158,지용제,충청북도,옥천군,4373025024,옥천읍,4.37E+11,충청북도 옥천군 옥천읍 향수길 56,29030,36.31501588,127.5815719,20201015,2020,10,15,2945
159,청남대 재즈토닉 페스티벌,충청북도,청주시 상당구,4311135032,문의면,4.31E+11,충청북도 청주시 상당구 문의면 청남대길 646,28210,36.46224737,127.4900948,20200828,2020,8,28,5257
160,청주읍성큰잔치,충청북도,청주시 상당구,4311110600,남문로2가,4.31E+11,충청북도 청주시 상당구 상당로55번길 33 (남문로2가),28529,36.63285683,127.4887893,20200905,2020,9,5,17924
161,2020 직지코리아 페스티벌,충청북도,청주시 흥덕구,4311310400,운천동,4.31E+11,충청북도 청주시 흥덕구 직지대로 713 (운천동),28472,36.6439745,127.4714597,20200902,2020,9,2,9764
329,생거진천 문화축제,충청북도,진천군,4375025024,진천읍,4.38E+11,충청북도 진천군 진천읍 백사천길 17,27849,36.86152209,127.4420392,20201008,2020,10,8,8796
351,제천국제음악영화제,충청북도,제천시,4315011300,청전동,4.32E+11,충청북도 제천시 의림대로 242 (청전동),27152,37.148685,128.216854,20200813,2020,8,13,4137
352,겨울왕국 제천페스티벌,충청북도,제천시,4315011300,청전동,4.32E+11,충청북도 제천시 의림대로 242 (청전동),27152,37.148685,128.216854,20201224,2020,12,24,20905
575,보은대추축제,충청북도,보은군,4372025031,보은읍,4.37E+11,충청북도 보은군 보은읍 뱃들로 55-1,28937,36.48629611,127.723402,20201016,2020,10,16,11197
583,감자옥수수 축제,충청북도,옥천군,4373033021,안내면,4.37E+11,충청북도 옥천군 안내면 현리길 91-10,29006,36.39260006,127.6597718,20200718,2020,7,18,9475
584,지용제,충청북도,옥천군,4373025024,옥천읍,4.37E+11,충청북도 옥천군 옥천읍 향수길 56,29030,36.31501588,127.5815719,20201015,2020,10,15,17453
585,음성품바축제,충청북도,음성군,4377025021,음성읍,4.38E+11,충청북도 음성군 음성읍 예술로 102,27692,36.93152313,127.6806296,20200826,2020,8,26,6311
586,설성문화제,충청북도,음성군,4377025021,음성읍,4.38E+11,충청북도 음성군 음성읍 수정로 38,27703,36.93427623,127.6906949,20201016,2020,10,16,13903
587,음성명작페스티벌,충청북도,음성군,4377025322,금왕읍,4.38E+11,충청북도 음성군 금왕읍 무극로 370,27627,36.99372794,127.604295,20200923,2020,9,23,8665
699,제24회 단양온달문화축제,충청북도,단양군,4380033022,영춘면,4.38E+11,충청북도 단양군 영춘면 온달로 23,27020,37.06295564,128.4929221,20201023,2020,10,23,28608
700,제38회 단양소백산철쭉제,충청북도,단양군,4380025034,단양읍,4.38E+11,충청북도 단양군 단양읍 소백산등산길 12,27024,36.9647819,128.4207808,20200528,2020,5,28,1051
73,괴산고추축제,충청북도,괴산군,4376025022,괴산읍,4.38E+11,충청북도 괴산군 괴산읍 임꺽정로 90,28026,36.81574779,127.7875348,20190829,2019,8,29,26934
76,백마권역겨울놀이축제,충청북도,괴산군,4376039024,사리면,4.38E+11,충청북도 괴산군 사리면 사리로 517,28045,36.83880878,127.6510421,20190104,2019,1,4,20496
