,축제명,시도명,시군구명,법정동 코드,법정동 이름,도로명주소 코드,도로명주소,zip_cd,위도,경도,축제일,연,월,일,방문객수
2,희망달서 큰잔치,대구광역시,달서구,2729011000,장기동,2.73E+11,대구광역시 달서구 문화회관길 160 (장기동),42699,35.84285866,128.5221241,20201016,2020,10,16,16633
3,와룡민속한마당,대구광역시,달서구,2729010800,이곡동,2.73E+11,대구광역시 달서구 계대동문로 77 (이곡동),42611,35.85575426,128.500776,20200620,2020,6,20,25751
4,두류문화한마당,대구광역시,달서구,2729010200,두류동,2.73E+11,대구광역시 달서구 야외음악당로 180 (두류동),42672,35.85115165,128.5561993,20200522,2020,5,22,4018
7,코로나19에 따른 축제 일체 잠정 중단,대구광역시,동구,2714011600,동호동,2.71E+11,대구광역시 동구 경안로 700 (동호동),41085,35.86471972,128.7142948,20200101,2020,1,1,27510
11,주안미디어문화축제,인천광역시,미추홀구,2817710500,주안동,2.82E+11,인천광역시 미추홀구 경인로 351,22139,37.458746,126.679586,20200918,2020,9,18,1744
19,울주세계산악영화제,울산광역시,울주군,3171038034,상북면,3.17E+11,울산광역시 울주군 상북면 알프스온천5길 103-8,44952,35.556348,129.067604,20200403,2020,4,3,23539
20,우시산국축제,울산광역시,울주군,3171034021,웅촌면,3.17E+11,울산광역시 울주군 웅촌면 새초천길 85,44966,35.463038,129.213965,20200406,2020,4,6,6402
25,봉숫골 꽃나들이 축제,경상남도,통영시,4822011700,도남동,4.82E+11,경상남도 통영시 도남로 185 (도남동),53074,34.82960109,128.4243196,20200328,2020,3,28,19778
26,통영한산대첩축제,경상남도,통영시,4822011700,도남동,4.82E+11,경상남도 통영시 도남로 296-1,53079,34.82567453,128.4334058,20200811,2020,8,11,2817
27,한산도 바다체험축제,경상남도,통영시,4822036025,한산면,4.82E+11,경상남도 통영시 한산면 봉암1길 205-8,53093,34.75930638,128.5100671,20200620,2020,6,20,14025
39,악양대봉감축제,경상남도,하동군,4885032034,악양면,4.89E+11,경상남도 하동군 악양면 섬진강대로 3145-2,52307,35.13592935,127.6914855,20200101,2020,1,1,10687
70,하동북천꽃양귀비축제,경상남도,하동군,4885039023,북천면,4.89E+11,경상남도 하동군 북천면 경서대로 2253-21,52318,35.11101547,127.8741645,20200101,2020,1,1,28891
79,장수 한우랑 사과랑 축제,전라북도,장수군,4574025027,장수읍,4.57E+11,전라북도 장수군 장수읍 한누리로 393,55638,35.6411154,127.5181094,20201029,2020,10,29,1776
80,인천 원도사제,인천광역시,미추홀구,2817710200,용현동,2.82E+11,인천광역시 미추홀구 용정공원로 28 (용현동),22187,37.4506785,126.642827,20201009,2020,10,9,27263
84,울산옹기축제,울산광역시,울주군,3171025630,온양읍,3.17E+11,울산광역시 울주군 온양읍 외고산3길 36,44970,35.435069,129.2795088,20200501,2020,5,1,5399
85,장미꽃 필(feel)무렵,대구광역시,달서구,2729010800,이곡동,2.73E+11,대구광역시 달서구 선원남로 129 (이곡동),42615,35.85741363,128.514463,20200515,2020,5,15,3155
86,달서가족축제,대구광역시,달서구,2729011900,대천동,2.73E+11,대구광역시 달서구 성서공단로 40 (대천동),42716,35.83282135,128.4872359,20200505,2020,5,5,1236
102,제50회 아림예술제,경상남도,거창군,4888025032,거창읍,4.89E+11,경상남도 거창군 거창읍 심소정길 39-36,50126,35.69209413,127.9290614,20200924,2020,9,24,7537
103,거창한마당대축제,경상남도,거창군,4888025032,거창읍,4.89E+11,경상남도 거창군 거창읍 심소정길 39-36,50126,35.69209413,127.9290614,20200924,2020,9,24,26215
109,북천코스모스메밀꽃축제,경상남도,하동군,4885039023,북천면,4.89E+11,경상남도 하동군 북천면 경서대로 2253-21,52318,35.11101547,127.8741645,20200101,2020,1,1,26964
114,토지문학제,경상남도,하동군,4885032034,악양면,4.89E+11,경상남도 하동군 악양면 평사리길 35,52307,35.15301698,127.6892639,20200101,2020,1,1,28879
126,화개장터벚꽃축제,경상남도,하동군,4885031023,화개면,4.89E+11,경상남도 하동군 화개면 쌍계로 58,52303,35.19153344,127.6267851,20200101,2020,1,1,14233
127,알프스하동섬진강재첩축제,경상남도,하동군,4885025022,하동읍,4.89E+11,경상남도 하동군 하동읍 섬진강대로 2107-8,52332,35.0633744,127.7433308,20200101,2020,1,1,20176
128,하동야생차문화축제,경상남도,하동군,4885031026,화개면,4.89E+11,경상남도 하동군 화개면 쌍계로 571-25,52302,35.22773053,127.6426922,20200101,2020,1,1,6615
130,제34회 비사벌문화제,경상남도,창녕군,4874025037,창녕읍,4.87E+11,경상남도 창녕군 창녕읍 학천길 13,50329,35.53835896,128.4987294,20201002,2020,10,2,18337
133,영동국악과일와인축제,충청북도,영동군,4374025027,영동읍,4.37E+11,충청북도 영동군 영동읍 영동황간로 122,29150,36.16401536,127.7819468,20200901,2020,9,1,20012
137,충주농산물한마당축제,충청북도,충주시,4313012800,금릉동,4.31E+11,충청북도 충주시 남한강로 24 (금릉동),27438,36.98782919,127.9055691,20201001,2020,10,1,21721
138,제16회 제천국제음악영화제,충청북도,제천시,4315032046,청풍면,4.32E+11,충청북도 제천시 청풍면 청풍호로50길 6,27215,37.01083356,128.1811895,20200813,2020,8,13,25347
139,제25회 오장환문학제,충청북도,보은군,4372038521,회인면,4.37E+11,충청북도 보은군 회인면 회인로5길 12,28929,36.4933575,127.5964471,20201001,2020,10,1,20410
140,제45회 중봉충렬제,충청북도,옥천군,4373032027,안남면,4.37E+11,충청북도 옥천군 안남면 도농1길 71-1,29009,36.38071082,127.6893425,20201015,2020,10,15,7662
145,가로수사랑음악회,전라남도,담양군,4671025023,담양읍,4.67E+11,전라남도 담양군 담양읍 지침3길 7-5,57344,35.31617363,126.9840063,20201103,2020,11,3,21291
146,창평전통음식문화축제,전라남도,담양군,4671034021,창평면,4.67E+11,전라남도 담양군 창평면 돌담길 56-24,57389,35.23525084,127.017861,20201026,2020,10,26,1055
147,추월산벚꽃축제,전라남도,담양군,4671038023,용면,4.67E+11,전라남도 담양군 용면 추월산로 369,57302,35.36449265,126.9872053,20200407,2020,4,7,18398
148,담양산타축제,전라남도,담양군,4671025024,담양읍,4.67E+11,전라남도 담양군 담양읍 추성로 1371,57339,35.32121077,126.9881755,20201211,2020,12,11,12518
149,담양대나무축제,전라남도,담양군,4671025024,담양읍,4.67E+11,전라남도 담양군 담양읍 추성로 1371,57339,35.32121077,126.9881755,20200430,2020,4,30,29984
150,괴산고추축제,충청북도,괴산군,4376025022,괴산읍,4.38E+11,충청북도 괴산군 괴산읍 임꺽정로 75,28026,36.81344157,127.7885377,20200903,2020,9,3,2598
